-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=44, lr=0.000996, snr1=2.991 ,snr2=100.000 ,BS=4192 ,loss=0.385 ,BER=0.0982 ,num=6585
GBAF_new: Idx=45, lr=0.000995, snr1=2.991 ,snr2=100.000 ,BS=4192 ,loss=0.374 ,BER=0.096 ,num=6440
GBAF_new: Idx=46, lr=0.000995, snr1=2.991 ,snr2=100.000 ,BS=4192 ,loss=0.359 ,BER=0.0853 ,num=5721
GBAF_new: Idx=47, lr=0.000995, snr1=2.991 ,snr2=100.000 ,BS=4192 ,loss=0.348 ,BER=0.0765 ,num=5129
GBAF_new: Idx=48, lr=0.000995, snr1=2.990 ,snr2=100.000 ,BS=4192 ,loss=0.337 ,BER=0.0741 ,num=4969
GBAF_new: Idx=49, lr=0.000995, snr1=2.990 ,snr2=100.000 ,BS=4192 ,loss=0.325 ,BER=0.0671 ,num=4498
GBAF_new: Idx=50, lr=0.000995, snr1=2.990 ,snr2=100.000 ,BS=4192 ,loss=0.312 ,BER=0.0624 ,num=4182
GBAF_new: Idx=51, lr=0.000995, snr1=2.990 ,snr2=100.000 ,BS=4192 ,loss=0.301 ,BER=0.0501 ,num=3360
GBAF_new: Idx=52, lr=0.000995, snr1=2.990 ,snr2=100.000 ,BS=4192 ,loss=0.287 ,BER=0.0452 ,num=3033
GBAF_new: Idx=53, lr=0.000995, snr1=2.989 ,snr2=100.000 ,BS=4192 ,loss=0.276 ,BER=0.042 ,num=2817
GBAF_new: Idx=54, lr=0.000995, snr1=2.989 ,snr2=100.000 ,BS=4192 ,loss=0.264 ,BER=0.0387 ,num=2593
GBAF_new: Idx=55, lr=0.000994, snr1=2.989 ,snr2=100.000 ,BS=4192 ,loss=0.249 ,BER=0.0324 ,num=2176
GBAF_new: Idx=56, lr=0.000994, snr1=2.989 ,snr2=100.000 ,BS=4192 ,loss=0.241 ,BER=0.032 ,num=2145
GBAF_new: Idx=57, lr=0.000994, snr1=2.989 ,snr2=100.000 ,BS=4192 ,loss=0.227 ,BER=0.0279 ,num=1868
GBAF_new: Idx=58, lr=0.000994, snr1=2.988 ,snr2=100.000 ,BS=4192 ,loss=0.223 ,BER=0.0285 ,num=1914
GBAF_new: Idx=59, lr=0.000994, snr1=2.988 ,snr2=100.000 ,BS=4192 ,loss=0.213 ,BER=0.0277 ,num=1858
GBAF_new: Idx=60, lr=0.000994, snr1=2.988 ,snr2=100.000 ,BS=4192 ,loss=0.197 ,BER=0.0211 ,num=1417
GBAF_new: Idx=61, lr=0.000994, snr1=2.988 ,snr2=100.000 ,BS=4192 ,loss=0.203 ,BER=0.0243 ,num=1631
GBAF_new: Idx=62, lr=0.000994, snr1=2.988 ,snr2=100.000 ,BS=4192 ,loss=0.197 ,BER=0.0243 ,num=1627
